date,time,x,y,z
2022-01-01,17:21:00,-4528667.19,5417847.065,149318.364
2022-01-01,17:24:00,-4207283.935,5473050.306,1476873.034
2022-01-01,17:27:00,-3733797.101,5318249.662,2750171.619
2022-01-01,17:30:00,-3130863.953,4955253.37,3922375.985
2022-01-01,17:33:00,-2425778.098,4394201.506,4950351.967
2022-01-01,17:36:00,-1649232.488,3653284.884,5796291.975
2022-01-01,17:39:00,-833967.374,2758122.202,6429118.548
2022-01-01,17:42:00,-13372.054,1740829.864,6825614.18
2022-01-01,17:45:00,779893.812,638832.86,6971250.512
2022-01-01,17:48:00,1515209.484,-506538.254,6860700.323
2022-01-01,17:51:00,2165183.475,-1651613.511,6498024.336
2022-01-01,17:54:00,2706685.499,-2752064.489,5896529.645
2022-01-01,17:57:00,3121686.809,-3764642.383,5078299.526
2022-01-01,18:00:00,3397876.252,-4648908.775,4073400.899
2022-01-01,18:03:00,3529030.313,-5368891.234,2918789.146
2022-01-01,18:06:00,3515118.49,-5894589.237,1656938.231
2022-01-01,18:09:00,3362136.686,-6203255.912,334246.063
2022-01-01,18:12:00,3081679.14,-6280388.566,-1000717.742
2022-01-01,18:15:00,2690271.11,-6120381.543,-2299050.785
2022-01-01,18:18:00,2208494.361,-5726800.486,-3513356.165
2022-01-01,18:21:00,1659958.12,-5112274.214,-4599496.047
2022-01-01,18:24:00,1070172.734,-4298013.49,-5518179.957
2022-01-01,18:27:00,465393.03,-3313003.269,-6236332.28
2022-01-01,18:30:00,-128519.245,-2192915.629,-6728207.072
2022-01-01,18:33:00,-687166.965,-978793.9,-6976227.801
2022-01-01,18:36:00,-1188583.068,284440.614,-6971546.168
2022-01-01,18:39:00,-1614062.829,1549611.29,-6714317.392
2022-01-01,18:42:00,-1948840.912,2768992.312,-6213695.309
2022-01-01,18:45:00,-2182595.794,3896058.9,-5487551.456
2022-01-01,18:48:00,-2309769.2,4887238.402,-4561912.286
2022-01-01,18:51:00,-2329688.447,5703605.606,-3470109.975
2022-01-01,18:54:00,-2246480.61,6312451.905,-2251654.385
2022-01-01,18:57:00,-2068777.18,6688661.248,-950854.901
2022-01-01,19:00:00,-1809219.586,6815820.658,384775.334
2022-01-01,19:03:00,-1483783.186,6687003.722,1706274.84
2022-01-01,19:06:00,-1110946.954,6305161.699,2965087.45
2022-01-01,19:09:00,-710752.759,5683087.446,4114905.363
2022-01-01,19:12:00,-303809.937,4842971.966,5113421.117
2022-01-01,19:15:00,89707.966,3815563.813,5923919.689
2022-01-01,19:18:00,451021.675,2638983.982,6516631.745
2022-01-01,19:21:00,763610.046,1357256.74,6869815.971
2022-01-01,19:24:00,1013944.911,18618.402,6970534.452
2022-01-01,19:27:00,1192067.382,-1326324.91,6815106.883
2022-01-01,19:30:00,1291984.588,-2626529.51,6409241.805
2022-01-01,19:33:00,1311873.027,-3832475.015,5767835.715
